GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,3,418,GSW,S. Curry makes 2-pt jump shot from 6 ft,60,MIA,,61,S. Curry - GSW,2-pt jump shot,make,6,
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,3,343,GSW,S. Curry makes 2-pt jump shot from 18 ft,64,MIA,,63,S. Curry - GSW,2-pt jump shot,make,18,
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,3,247,GSW,S. Curry misses 3-pt jump shot from 25 ft,69,MIA,,65,S. Curry - GSW,3-pt jump shot,miss,25,
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,3,60,GSW,S. Curry misses 3-pt jump shot from 25 ft,71,MIA,,75,S. Curry - GSW,3-pt jump shot,miss,25,
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,3,30,GSW,S. Curry makes 2-pt layup from 1 ft,73,MIA,,75,S. Curry - GSW,2-pt layup,make,1,
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,4,232,GSW,S. Curry misses 3-pt jump shot from 26 ft,88,MIA,,98,S. Curry - GSW,3-pt jump shot,miss,26,
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,4,0,GSW,S. Curry misses 2-pt jump shot from 22 ft,102,MIA,,105,S. Curry - GSW,2-pt jump shot,miss,22,
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,1,622,GSW,S. Curry misses 2-pt jump shot from 22 ft,2,WAS,,5,S. Curry - GSW,2-pt jump shot,miss,22,
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,1,480,GSW,S. Curry makes 2-pt jump shot from 19 ft,6,WAS,,16,S. Curry - GSW,2-pt jump shot,make,19,
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,1,449,GSW,S. Curry misses 3-pt jump shot from 26 ft,6,WAS,,19,S. Curry - GSW,3-pt jump shot,miss,26,
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,2,305,GSW,S. Curry misses 2-pt jump shot from 13 ft,38,WAS,,49,S. Curry - GSW,2-pt jump shot,miss,13,
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,2,216,GSW,S. Curry misses 3-pt jump shot from 27 ft,40,WAS,,51,S. Curry - GSW,3-pt jump shot,miss,27,
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,2,148,GSW,S. Curry makes 2-pt jump shot from 4 ft (assist by D. Green),44,WAS,,55,S. Curry - GSW,2-pt jump shot,make,4,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,2,127,GSW,S. Curry misses 3-pt jump shot from 28 ft,44,WAS,,57,S. Curry - GSW,3-pt jump shot,miss,28,
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,678,GSW,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),52,WAS,,63,S. Curry - GSW,3-pt jump shot,make,25,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,549,GSW,S. Curry makes 2-pt jump shot from 19 ft (assist by D. Green),61,WAS,,65,S. Curry - GSW,2-pt jump shot,make,19,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,449,GSW,S. Curry makes 2-pt layup at rim (assist by D. Green),63,WAS,,69,S. Curry - GSW,2-pt layup,make,0,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,428,GSW,S. Curry misses 3-pt jump shot from 30 ft,63,WAS,,69,S. Curry - GSW,3-pt jump shot,miss,30,
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,298,GSW,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),72,WAS,,75,S. Curry - GSW,2-pt layup,make,1,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,270,GSW,S. Curry misses 3-pt jump shot from 23 ft,72,WAS,,77,S. Curry - GSW,3-pt jump shot,miss,23,
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,105,GSW,S. Curry makes 2-pt layup from 2 ft,82,WAS,,82,S. Curry - GSW,2-pt layup,make,2,
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,63,GSW,S. Curry makes 3-pt jump shot from 26 ft (assist by S. Livingston),85,WAS,,85,S. Curry - GSW,3-pt jump shot,make,26,S. Livingston - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,3,GSW,S. Curry misses 3-pt jump shot from 28 ft,85,WAS,,85,S. Curry - GSW,3-pt jump shot,miss,28,
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,4,381,GSW,S. Curry misses 2-pt layup from 2 ft (block by M. Morris),94,WAS,,92,S. Curry - GSW,2-pt layup,miss,2,
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,4,355,GSW,S. Curry misses 2-pt layup from 2 ft (block by M. Morris),94,WAS,,92,S. Curry - GSW,2-pt layup,miss,2,
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,4,42,GSW,S. Curry makes 2-pt layup from 2 ft,108,WAS,,108,S. Curry - GSW,2-pt layup,make,2,
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,4,7,GSW,S. Curry misses 3-pt jump shot from 31 ft,108,WAS,,110,S. Curry - GSW,3-pt jump shot,miss,31,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,526,GSW,S. Curry misses 3-pt jump shot from 25 ft,4,SAS,,4,S. Curry - GSW,3-pt jump shot,miss,25,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,506,GSW,S. Curry makes 2-pt jump shot from 4 ft,6,SAS,,4,S. Curry - GSW,2-pt jump shot,make,4,
