GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,4,21,GSW,S. Livingston makes 2-pt layup from 1 ft (assist by S. Curry),100,MIA,,101,S. Livingston - GSW,2-pt layup,make,1,S. Curry - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,1,655,GSW,Z. Pachulia makes 2-pt jump shot from 10 ft (assist by S. Curry),2,WAS,,2,Z. Pachulia - GSW,2-pt jump shot,make,10,S. Curry - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,1,583,GSW,Z. Pachulia makes 2-pt layup at rim (assist by D. Green),4,WAS,,9,Z. Pachulia - GSW,2-pt layup,make,0,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,1,429,GSW,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),9,WAS,,19,K. Thompson - GSW,3-pt jump shot,make,26,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,1,400,GSW,K. Thompson makes 2-pt jump shot from 13 ft (assist by S. Curry),11,WAS,,22,K. Thompson - GSW,2-pt jump shot,make,13,S. Curry - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,1,375,GSW,K. Thompson makes 3-pt jump shot from 24 ft (assist by P. McCaw),14,WAS,,22,K. Thompson - GSW,3-pt jump shot,make,24,P. McCaw - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,1,104,GSW,I. Clark makes 2-pt jump shot from 20 ft (assist by D. Green),22,WAS,,39,I. Clark - GSW,2-pt jump shot,make,20,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,1,81,GSW,J. McAdoo makes 2-pt layup from 2 ft (assist by D. Green),24,WAS,,39,J. McAdoo - GSW,2-pt layup,make,2,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,1,31,GSW,J. McAdoo makes 2-pt layup at rim (assist by D. Green),26,WAS,,40,J. McAdoo - GSW,2-pt layup,make,0,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,2,654,GSW,D. West makes 2-pt jump shot from 3 ft (assist by D. Green),28,WAS,,42,D. West - GSW,2-pt jump shot,make,3,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,2,616,GSW,D. West makes 2-pt jump shot from 19 ft (assist by A. Iguodala),30,WAS,,42,D. West - GSW,2-pt jump shot,make,19,A. Iguodala - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,2,569,GSW,A. Iguodala makes 2-pt layup from 2 ft (assist by D. West),32,WAS,,45,A. Iguodala - GSW,2-pt layup,make,2,D. West - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,2,364,GSW,S. Livingston makes 2-pt dunk at rim (assist by D. West),36,WAS,,49,S. Livingston - GSW,2-pt dunk,make,0,D. West - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,2,339,GSW,S. Livingston makes 2-pt layup at rim (assist by A. Iguodala),38,WAS,,49,S. Livingston - GSW,2-pt layup,make,0,A. Iguodala - GSW
